Price,Adj Close,Close,High,Low,Open,Volume
Ticker,^AXJT,^AXJT,^AXJT,^AXJT,^AXJT,^AXJT
Date,,,,,,
2025-04-01,104814.5,104814.5,104814.5,103733.5,103733.5,0
2025-04-02,104943.1015625,104943.1015625,105523.1015625,104819.0,104819.0,0
2025-04-03,103953.5,103953.5,104943.1015625,102740.796875,104943.1015625,0
2025-04-04,101415.703125,101415.703125,103953.5,101366.796875,103953.5,0
2025-04-07,97122.6015625,97122.6015625,101415.703125,94820.0,101415.703125,0
2025-04-08,99328.703125,99328.703125,99328.703125,97123.6015625,97123.6015625,0
2025-04-09,97542.796875,97542.796875,99328.703125,97199.203125,99328.703125,0
2025-04-10,101968.296875,101968.296875,103731.703125,97542.796875,97542.796875,0
2025-04-11,101133.796875,101133.796875,101968.296875,99520.8984375,101968.296875,0
2025-04-14,102484.703125,102484.703125,102690.1015625,101133.796875,101133.796875,0
2025-04-15,102663.203125,102663.203125,103152.5,102423.6015625,102489.6015625,0
2025-04-16,102625.8984375,102625.8984375,103056.1015625,102475.5,102663.203125,0
2025-04-17,103422.6015625,103422.6015625,103422.6015625,102606.296875,102625.8984375,0
2025-04-22,103390.3984375,103390.3984375,103466.1015625,102443.1015625,103422.6015625,0
2025-04-23,104763.5,104763.5,105309.3984375,103390.3984375,103390.3984375,0
2025-04-24,105394.6015625,105394.6015625,105600.6015625,104763.5,104763.5,0
2025-04-28,105775.8984375,105775.8984375,106500.3984375,105394.6015625,105394.6015625,0
2025-04-29,106748.5,106748.5,106829.203125,105775.8984375,105775.8984375,0
2025-04-30,107489.3984375,107489.3984375,107489.3984375,106734.6015625,106753.796875,0
2025-05-01,107745.8984375,107745.8984375,107837.3984375,107271.1015625,107489.3984375,0
2025-05-02,108968.796875,108968.796875,108989.0,107536.6015625,107745.8984375,0
2025-05-05,107907.1015625,107907.1015625,109000.796875,107906.3984375,108968.796875,0
2025-05-06,107823.203125,107823.203125,108054.1015625,107650.5,107907.1015625,0
2025-05-07,108180.8984375,108180.8984375,108354.1015625,107825.296875,107825.296875,0
2025-05-08,108472.1015625,108472.1015625,108731.1015625,107984.703125,108295.796875,0
2025-05-09,108995.796875,108995.796875,109150.796875,108361.0,108472.1015625,0
2025-05-12,109141.703125,109141.703125,109747.3984375,109110.8984375,109110.8984375,0
2025-05-13,109720.796875,109720.796875,110317.703125,109250.796875,109250.796875,0
2025-05-14,109861.6015625,109861.6015625,109861.6015625,109429.203125,109720.796875,0
2025-05-15,110098.8984375,110098.8984375,110173.8984375,109567.5,109861.6015625,0
2025-05-16,110711.8984375,110711.8984375,111435.5,110098.8984375,110098.8984375,0
2025-05-19,110128.703125,110128.703125,110787.703125,109981.296875,110773.3984375,0
2025-05-20,110769.0,110769.0,111049.5,110128.703125,110128.703125,0
2025-05-21,111350.8984375,111350.8984375,111830.296875,110774.203125,110774.203125,0
2025-05-22,110862.3984375,110862.3984375,111368.5,110368.3984375,111368.5,0
2025-05-23,111024.796875,111024.796875,111286.703125,110742.296875,110862.3984375,0
2025-05-26,111028.6015625,111028.6015625,111138.796875,110822.203125,111026.703125,0
2025-05-27,111646.6015625,111646.6015625,111646.6015625,110960.5,111028.6015625,0
2025-05-28,111505.6015625,111505.6015625,112250.0,111444.6015625,111646.6015625,0
2025-05-29,111677.296875,111677.296875,111909.1015625,111442.796875,111506.5,0
2025-05-30,112008.0,112008.0,112075.796875,111285.5,111677.296875,0
2025-06-02,111734.0,111734.0,112018.3984375,111562.0,112008.0,0
2025-06-03,112434.1015625,112434.1015625,112603.796875,111735.5,111735.5,0
2025-06-04,113432.203125,113432.203125,113494.703125,112434.1015625,112434.1015625,0
2025-06-05,113393.5,113393.5,113769.8984375,113234.296875,113432.203125,0
2025-06-06,113085.5,113085.5,113614.703125,113085.5,113393.5,0
2025-06-10,114034.5,114034.5,114098.296875,113085.5,113085.5,0
2025-06-11,114099.6015625,114099.6015625,114724.1015625,114034.5,114034.5,0
2025-06-12,113743.1015625,113743.1015625,114443.3984375,113743.1015625,114101.6015625,0
2025-06-13,113510.296875,113510.296875,113908.3984375,113216.8984375,113744.8984375,0
2025-06-16,113522.703125,113522.703125,113930.8984375,113392.296875,113510.296875,0
2025-06-17,113428.296875,113428.296875,113767.703125,113212.8984375,113522.703125,0
2025-06-18,113294.203125,113294.203125,113584.6015625,113145.296875,113428.296875,0
2025-06-19,113194.8984375,113194.8984375,113414.8984375,112942.6015625,113294.203125,0
2025-06-20,112953.1015625,112953.1015625,113232.3984375,112385.3984375,113194.8984375,0
2025-06-23,112548.8984375,112548.8984375,112955.296875,111835.1015625,112955.296875,0
2025-06-24,113620.0,113620.0,113865.203125,112548.8984375,112548.8984375,0
2025-06-25,113668.5,113668.5,113908.796875,113509.5,113620.0,0
2025-06-26,113556.3984375,113556.3984375,113684.0,113320.203125,113668.5,0
