Date,Adj Close,Close,High,Low,Open,Volume
2001-07-30,11.551105499267578,34.9117317199707,35.05924606323242,34.71504592895508,34.78093719482422,509268
2001-07-31,11.730390548706055,35.4536018371582,36.04267501831055,34.97663879394531,34.97663879394531,333980
2001-08-01,11.486029624938965,34.71504592895508,35.60013198852539,34.56753158569336,35.59423065185547,547922
2001-08-02,11.795137405395508,35.6493034362793,35.89516067504883,34.4396858215332,34.997291564941406,768520
2001-08-03,11.827675819396973,35.74764633178711,35.89516067504883,35.550960540771484,35.60013198852539,428403
2001-08-06,11.948067665100098,36.111515045166016,36.180355072021484,35.74764633178711,35.74764633178711,123888
2001-08-07,11.969217300415039,36.175437927246094,36.337703704833984,35.944332122802734,35.97383499145508,405061
2001-08-08,11.974101066589355,36.190189361572266,36.24919509887695,36.06234359741211,36.13118362426758,278383
2001-08-09,11.882668495178223,35.913848876953125,36.38687515258789,35.913848876953125,36.18330764770508,399441
2001-08-10,11.892759323120117,35.944332122802734,36.04267501831055,35.74764633178711,35.8941764831543,237198
2001-08-13,11.908370971679688,35.991539001464844,36.337703704833984,35.92466354370117,35.944332122802734,216153
2001-08-14,11.954578399658203,36.13118362426758,36.190189361572266,36.00235366821289,36.00235366821289,299337
2001-08-15,11.74633502960205,35.50178909301758,36.337703704833984,35.50178909301758,36.190189361572266,404991
2001-08-16,11.72680950164795,35.44278335571289,35.51162338256836,35.10841751098633,35.44278335571289,492270
2001-08-17,11.909027099609375,35.99350357055664,36.05250930786133,35.550960540771484,35.60013198852539,430004
2001-08-20,11.762598991394043,35.550960540771484,35.89516067504883,35.550960540771484,35.89516067504883,194547
2001-08-21,11.697525978088379,35.35427474975586,35.60013198852539,35.20676040649414,35.60013198852539,175628
2001-08-22,11.733316421508789,35.46245193481445,35.50178909301758,34.931400299072266,35.398529052734375,161614
2001-08-23,11.843954086303711,35.796817779541016,35.98366928100586,35.60013198852539,35.65815353393555,108933
2001-08-24,12.110764503479004,36.60322952270508,36.662235260009766,35.63357162475586,35.63357162475586,420389
2001-08-27,12.689948081970215,38.35373306274414,38.35373306274414,36.63273239135742,36.63273239135742,611169
2001-08-28,12.725736618041992,38.461910247802734,38.550418853759766,38.13737869262695,38.35373306274414,355877
2001-08-29,12.89168643951416,38.963462829589844,39.169979095458984,38.596641540527344,38.596641540527344,305577
2001-08-30,12.8363676071167,38.79627990722656,38.94575881958008,38.71760177612305,38.94575881958008,435210
2001-08-31,12.598191261291504,38.07640838623047,38.70973587036133,37.96036148071289,38.70973587036133,1393295
2001-09-03,12.813593864440918,38.727439880371094,38.76677322387695,38.065589904785156,38.065589904785156,116851
2001-09-04,13.047866821289062,39.43550491333008,39.730533599853516,38.855281829833984,38.855281829833984,444898
2001-09-05,13.308172225952148,40.222251892089844,40.35009765625,39.83674621582031,39.83674621582031,686957
2001-09-06,13.178020477294922,39.82887649536133,40.320594787597656,39.82887649536133,40.16324234008789,726160
2001-09-07,12.917713165283203,39.04213333129883,39.6321907043457,39.03230285644531,39.53089904785156,605996
2001-09-10,12.641136169433594,38.20621871948242,38.833648681640625,37.86201858520508,38.833648681640625,673529
2001-09-11,12.641136169433594,38.20621871948242,38.20621871948242,38.20621871948242,38.20621871948242,0
2001-09-12,12.641136169433594,38.20621871948242,38.20621871948242,38.20621871948242,38.20621871948242,0
2001-09-13,11.915212631225586,36.01219177246094,36.98676681518555,35.35427474975586,35.35427474975586,941084
2001-09-14,11.52442455291748,34.831092834472656,36.09184646606445,34.2823371887207,36.09184646606445,531186
2001-09-17,10.39599609375,31.42055892944336,34.32167434692383,31.410724639892578,34.32167434692383,859261
2001-09-18,10.998927116394043,33.24285125732422,33.39725112915039,32.15813064575195,32.45315933227539,1035282
2001-09-19,11.128104209899902,33.63327407836914,34.02664566040039,33.190731048583984,33.436588287353516,945944
2001-09-20,11.090038299560547,33.51821517944336,33.59098815917969,33.190731048583984,33.59098815917969,818883
