Date,CBA,NAB,WBC,ANZ,MQG,Market_Excess_Return
2001-08-30,-0.019135414304611,-0.012403291619495,-0.010018516234412501,0.0005742569544314,-0.004484677504701,-0.007521623684139593
2001-08-31,-0.0232963504440677,-0.0231479741874515,-0.0146513871860989,-0.0037339435459522,-0.0187484392433352,-0.014589624664691197
2001-09-03,0.0050539378645882,-0.1297115533486121,0.0137576885055078,0.019936630328180698,0.0169042686030885,-0.00010646608954926605
2001-09-04,0.0105524271843234,0.0257577971562169,0.0005150137576748,0.0091502928463963,0.0180895271560597,0.004101955623070659
2001-09-05,-0.0111515539276057,0.0088543989130561,-0.008688762544405199,-0.0358914665502856,0.019765866145629897,0.0004109212732046841
2001-09-06,-0.0080168617109463,-0.0141558186539863,-0.013765222526654299,-0.031192244368812003,-0.009964005743185199,-0.007221885441670744
2001-09-07,-0.0223312025667634,-0.006964087036547,-0.021923130772294602,-0.0094147879165749,-0.019937311400487302,-0.009199642152528503
2001-09-10,0.02879058560457,0.030532933375459398,0.018334258784609998,0.018448883968905698,-0.0215948471350306,0.002800059686657802
2001-09-11,-0.007656857043992,-0.0218396276099274,0.012179967615472801,-0.0007936754486178,-0.0001841692301427,-0.00030971141545549916
2001-09-12,-0.0344756130497778,-0.0533893445176766,-0.0234605190068283,-0.0393544398015881,-0.0001841692301427,-0.04134206462781615
2001-09-13,-0.0008224124810169,0.0043197849447412,-0.0100400616900914,-0.012757106477437,-0.0576096671029762,0.005741203806463752
2001-09-14,-0.029297330091338402,-0.0250950299671422,-0.0129607345021641,-0.0072583993542079,-0.0329815762427533,-0.008281124410501722
2001-09-17,-0.035941919015761103,-0.07292123811626809,-0.0241120217524374,-0.038396248206530904,-0.0981004212725765,-0.04555340948894555
2001-09-18,0.022543396006527997,0.0196134991693002,0.0018974699045600002,0.0233847076654246,0.057812295678738995,0.018375082900734356
2001-09-19,-0.0079620107909257,-0.016008313067466803,-0.0078004031346177,0.0031051024231246,0.0115603484067928,0.008055809174500267
2001-09-20,-0.0334053190302409,-0.0374390683968675,-0.031191773591659602,-0.0428067969176796,-0.0036048696137254,-0.017252328077807695
2001-09-21,-0.0137750615538063,0.045966290377443396,-0.0340241906888745,-0.0070336596622804,-0.0028543621004329003,-0.013891941053283235
2001-09-24,-0.0161539399026739,0.0011011136598198,-0.0024196186072906003,-0.016045879067404203,-0.0205417453937551,-0.005445219507003668
2001-09-25,0.0137375577239272,0.020581060390789,0.0437987506060762,0.0355547968519305,0.0277136718830249,0.01291308499679294
2001-09-26,0.026100730290729898,-0.0001841692301427,0.026048304467018297,0.0480564680473512,0.0319812689745671,0.009571727812258507
2001-09-27,-0.0066827000274150995,-0.0192317728971311,0.0060125891886946,0.0228587154127324,-0.0046562182394261995,0.003045423610474046
2001-09-28,0.004048407247262901,-0.0036791598950893,0.022910403646812898,0.0080175375983382,0.0233572441963061,0.01612146503941774
2001-10-01,0.0342985407403704,0.050322222661545,-0.0031939225380719,0.0235330257407562,0.027593610809152798,0.016006256259296685
2001-10-02,0.031297475956460395,0.0359488743726293,0.0166459755373467,0.0200495603536228,0.0232484343393145,0.013331910582832502
