Date,Equal Weight,Minimum Variance,Maximum Sharpe
2021-01-04,0.0,0.0,0.0
2021-01-05,-0.006334972866813171,-0.006654883830061409,-0.005849440140320961
2021-01-06,-0.017446402329703403,-0.014410565482487647,-0.01842652186669924
2021-01-07,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0
2021-01-11,-0.0034481771195026267,-0.0035174832260497224,-0.004772994600371505
2021-01-12,0.0,0.0,-0.003083984082496549
2021-01-13,-0.0002685813060921971,0.0,-0.006945623447788707
2021-01-14,0.0,0.0,0.0
2021-01-15,0.0,0.0,-0.005647146672834613
2021-01-18,-0.011293848616147462,-0.011081872454806851,-0.013328001585767302
2021-01-19,0.0,0.0,-0.0014918220669531967
2021-01-20,-0.005184596534747787,-0.00556695805428975,-0.007197227609394563
2021-01-21,0.0,0.0,0.0
2021-01-22,-0.006566030874989193,-0.004087672484224925,-0.008442147997561045
2021-01-25,-0.005678531299142087,-0.0028996732925110624,-0.007435863860721814
2021-01-27,-0.006158192701316012,0.0,-0.006517964878035909
2021-01-28,-0.01976095091712282,-0.013580203821681791,-0.022100280679175688
2021-01-29,-0.03671080018896877,-0.03082050538760983,-0.039105594106072394
2021-02-01,-0.027158106535194237,-0.02063964064606183,-0.029633471251832244
2021-02-02,-0.01180350000489061,-0.003908400157971337,-0.012369551519992972
2021-02-03,0.0,0.0,-0.001999415299664964
2021-02-04,-0.002427155042149187,-0.003179702669147799,-0.005873791102703474
2021-02-05,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0
2021-02-09,0.0,-0.011420359053496698,0.0
2021-02-10,0.0,-0.016223957664386557,0.0
2021-02-11,0.0,-0.010806860866742873,0.0
2021-02-12,-0.005920095044394058,-0.015117143953653267,-0.006998442605326227
2021-02-15,0.0,-0.008666993702669545,-0.002414115119265703
2021-02-16,0.0,-7.439122632491024e-05,0.0
2021-02-17,0.0,0.0,-0.005746208377052309
2021-02-18,0.0,0.0,-0.002955896282332171
2021-02-19,-0.012325221736634084,-0.012432181889416416,-0.017991465948533736
2021-02-22,-0.015094247341625788,-0.022903919142597484,-0.009130388588426741
2021-02-23,-0.001914822532971705,-0.007809304456584676,0.0
2021-02-24,-0.006962280693414757,-0.011987169438443246,-0.007573756907786278
2021-02-25,-0.0012930030374529444,-0.0020733596260191778,-0.005752392848007326
2021-02-26,-0.023258465239073045,-0.025085593367670134,-0.028129176329421135
2021-03-01,-0.003082403911726095,-0.002633804718919941,-0.0050668347733214825
2021-03-02,0.0,0.0,0.0
2021-03-03,0.0,0.0,0.0
2021-03-04,0.0,0.0,0.0
2021-03-05,0.0,0.0,-0.0038263505063713676
2021-03-08,0.0,0.0,0.0
2021-03-09,0.0,0.0,0.0
2021-03-10,-0.014585497237717737,-0.014149687089524798,-0.013201740627163838
2021-03-11,-0.020907258248041516,-0.018365022422637933,-0.020320542841681943
2021-03-12,-0.020214958143970785,-0.018899304423906638,-0.01782231476892071
2021-03-15,-0.017783012390388486,-0.017076972956564074,-0.016779307271873267
2021-03-16,-0.01114579460193732,-0.010256119758204285,-0.008615336815435581
2021-03-17,-0.012782724281111824,-0.011802597446619156,-0.009113720518216795
2021-03-18,-0.02093290592006214,-0.02291880984212502,-0.01679988684004341
2021-03-19,-0.026056438350330557,-0.027784995352219677,-0.027790508399298197
2021-03-22,-0.018937980291936163,-0.02218792439291395,-0.019551935085114658
2021-03-23,-0.02525111122296586,-0.02854671274282783,-0.022946812127080052
2021-03-24,-0.023605733425220765,-0.02442049357576137,-0.015107766068312323
2021-03-25,-0.021877434720582012,-0.023395408996837563,-0.011703519010284436
2021-03-26,-0.017107427881427162,-0.020909328184100295,-0.010673416206895658
2021-03-29,-0.022132924852479086,-0.024191597963166167,-0.018390442636505022
2021-03-30,-0.024400857744373616,-0.02633230506187001,-0.020988145650701506
2021-03-31,-0.01822595810814065,-0.02111386124981418,-0.011381883531162429
2021-04-01,-0.01666827221684597,-0.01842561915958807,-0.012027602514100066
2021-04-06,-0.013973461936581666,-0.01617023945216456,-0.011709557646533475
2021-04-07,-0.01089150617615231,-0.01138013797951476,-0.009850601326888864
2021-04-08,-0.00022561050895197887,-0.0016382997174334557,0.0
2021-04-09,0.0,-7.53827884499847e-05,0.0
2021-04-12,0.0,0.0,-0.00333154840699168
2021-04-13,0.0,0.0,-0.00016290265282215
2021-04-14,0.0,0.0,0.0
2021-04-15,0.0,0.0,0.0
2021-04-16,-0.004842730044736343,-0.0031310156732876626,-0.004684302665109996
2021-04-19,-0.0008318770470602255,0.0,0.0
2021-04-20,-0.00909137700728313,-0.008743063103227477,-0.009688552141380535
2021-04-21,-0.014193200348200707,-0.01254736966551262,-0.009972178988881919
2021-04-22,-0.007825584925204576,-0.004800232621316569,-0.003113109136611447
2021-04-23,-0.003229499563371374,-0.0021759180529358213,0.0
2021-04-26,-0.00313199423889432,-0.0026351398805526394,-0.002225666538680504
2021-04-27,-0.0010191842629245773,-0.0017822730744264659,0.0
2021-04-28,0.0,0.0,0.0
2021-04-29,-0.003922847087282522,-0.0037402209616100857,-0.002829363618543357
2021-04-30,-0.009941175315213435,-0.011673585107910944,-0.00865601884789402
2021-05-03,0.0,0.0,-0.0008534162037161508
2021-05-04,-0.001754150297641477,0.0,0.0
2021-05-05,-0.0015012172607073992,0.0,0.0
2021-05-06,-0.010880686362575664,-0.005847097596138773,-0.005135707338563278
2021-05-07,-0.006592745460225369,0.0,-0.001673829932735349
2021-05-10,0.0,0.0,0.0
2021-05-11,-0.01097307463563657,-0.009510793225969483,-0.010529561805183163
2021-05-12,-0.016473141367719157,-0.011458483750876436,-0.012274403598346528
2021-05-13,-0.01303185352714431,-0.00871422012282641,-0.008063104416007771
2021-05-14,-0.0016980174622786004,-0.00016463478729622505,0.0
2021-05-17,-0.007588854148900759,0.0,-0.00707410208419279
2021-05-18,0.0,0.0,0.0
2021-05-19,-0.018059766104089436,-0.017921305586076297,-0.023336953510857517
2021-05-20,-0.0014265246301476964,0.0,-0.006307941429153918
2021-05-21,0.0,0.0,-0.004285240914803534
2021-05-24,0.0,0.0,-0.0052208017654034045
2021-05-25,0.0,0.0,0.0
2021-05-26,-6.637934666708922e-05,0.0,-0.0005833473783692922
2021-05-27,-0.004302052892061425,-0.0052113195538207036,-0.005644548012778028
2021-05-28,0.0,0.0,0.0
2021-05-31,-0.0047545002486028,-0.005407625491564927,-0.005488326304056046
2021-06-01,-0.013359723481086716,-0.011942649877084821,-0.012887185490169983
2021-06-02,-0.007984250229969847,-0.006617825280955891,-0.0049809195311900645
2021-06-03,0.0,0.0,0.0
2021-06-04,0.0,0.0,0.0
2021-06-07,-0.012527459919276063,-0.012516329290724215,-0.005886857784875521
2021-06-08,-0.012195138976138997,-0.0124693643886723,-0.007750587495719552
2021-06-09,-0.01864846070485826,-0.017980842489253912,-0.015195895861842112
2021-06-10,-0.01526158115791254,-0.013988971809155482,-0.009367940402476016
2021-06-11,-0.023862220322216188,-0.021651871173254733,-0.01644412309742127
2021-06-15,-0.010534681943126567,-0.007576099637005229,0.0
2021-06-16,-0.0033071184999730052,0.0,0.0
2021-06-17,0.0,0.0,0.0
2021-06-18,-0.007073260317889352,-0.010751893404001511,-0.008940944099570691
2021-06-21,-0.03706738671687315,-0.046365031165886084,-0.04493141122758981
2021-06-22,-0.01964812622919876,-0.02869647143122711,-0.025964415763283233
2021-06-23,-0.031216177037368342,-0.041833188751104755,-0.03361867424552645
2021-06-24,-0.0389813889614995,-0.0494302907810652,-0.03984583717251122
2021-06-25,-0.031911512216046156,-0.04451483189778527,-0.030081936880921645
2021-06-28,-0.03234261267940475,-0.04358580799876166,-0.028351282590034055
2021-06-29,-0.029841991065031492,-0.04064150932028465,-0.02414566025633269
2021-06-30,-0.030035458228704348,-0.04268561222763201,-0.024700085894036605
2021-07-01,-0.03777767705652124,-0.05086695072985248,-0.03450008545524963
2021-07-02,-0.030205751580095974,-0.04512576661385337,-0.02483974324829963
2021-07-05,-0.03374729442124058,-0.04868817054158403,-0.027201349684729426
2021-07-06,-0.03772329736886759,-0.052481216267417974,-0.03281139800922983
2021-07-07,-0.03127381767298587,-0.04471222040246614,-0.025937290699736493
2021-07-08,-0.0334653226335595,-0.047444599980988045,-0.026055991676728674
2021-07-09,-0.041672121598691936,-0.054408583098841556,-0.03784315601214416
2021-07-12,-0.03581631270226193,-0.04895826543626802,-0.031125962247641192
2021-07-13,-0.04025069933627046,-0.054251398819245344,-0.03657819349100444
2021-07-14,-0.04108258384997643,-0.05373224884745953,-0.03614914062925734
2021-07-15,-0.048603323438767054,-0.06090800028968568,-0.04278534383057764
2021-07-16,-0.04809540693638692,-0.06239497717563669,-0.03931853568665733
2021-07-19,-0.057161795679941396,-0.07012098217339335,-0.04756374739147806
2021-07-20,-0.05935125708922118,-0.07304796087967713,-0.048934124495922826
2021-07-21,-0.04927526432368812,-0.0640797886859471,-0.03879579866207983
2021-07-22,-0.03770751354737634,-0.052985221085274925,-0.02542703758054632
2021-07-23,-0.04272011526137376,-0.058975485336803746,-0.029798253103324623
2021-07-26,-0.04281967472511505,-0.06036206882184647,-0.027193911980685215
2021-07-27,-0.03783592778412781,-0.05189801710307562,-0.022182544788857173
2021-07-28,-0.045347718816850846,-0.0608432678808164,-0.03183819335776927
2021-07-29,-0.04578475114158542,-0.061605864941510435,-0.030232834888199167
2021-07-30,-0.04477056756568332,-0.0598141594435444,-0.030182860651865373
2021-08-02,-0.02783217957081019,-0.04064503159361699,-0.016408598925803042
2021-08-03,-0.03508081042405642,-0.04636016967103451,-0.023127648438176718
2021-08-04,-0.033575450160498566,-0.04308834577313014,-0.020875009429162095
2021-08-05,-0.026424544173255682,-0.03568160011238308,-0.01186641492000473
2021-08-06,-0.02014198250966126,-0.029925797349040995,-0.006916807293069205
2021-08-09,-0.010446650681052438,-0.019871324174575156,0.0
2021-08-10,-0.00493915249372856,-0.011120290231513175,0.0
2021-08-11,0.0,-2.1254227512423896e-05,0.0
2021-08-12,0.0,-0.007114125931718895,-0.00012276384637066595
2021-08-13,0.0,-0.005846201869316281,-0.001786301760771769
2021-08-16,-0.012462772644699194,-0.017806863506139137,-0.014814989048799743
2021-08-17,-0.02276377212529279,-0.030317427348646286,-0.02440615968085824
2021-08-18,-0.015760600910869393,-0.021966359711149797,-0.01783151325510479
2021-08-19,-0.016785184881085158,-0.024940512979660934,-0.017212922823717003
2021-08-20,-0.019885164864518634,-0.026545954552431028,-0.020767352428658237
2021-08-23,-0.017358397595634845,-0.022806560897632333,-0.015771135994037677
2021-08-24,-0.015278278563613967,-0.022024750033964757,-0.01400732917813552
2021-08-25,-0.010782524668930704,-0.015814845717239234,-0.012710112441919108
2021-08-26,-0.011791600654708079,-0.01577063381818189,-0.010716788110860076
2021-08-27,-0.00948948983293818,-0.013134923549939614,-0.006164700815173396
2021-08-30,-0.01561147475141833,-0.02105565483969618,-0.011526715254134845
2021-08-31,-0.014853883821056901,-0.020921980562909726,-0.011471733335805978
2021-09-01,-0.00558436716777988,-0.00966134302178323,-0.00638666731308013
2021-09-02,-0.003419613386465681,-0.007877106140050993,-0.0024962594124520177
2021-09-03,-4.839010065560423e-05,-0.004500813625969546,0.0
2021-09-06,0.0,-0.0014463269685778268,0.0
2021-09-07,-8.575196249482886e-05,-0.002352431158617274,0.0
2021-09-08,0.0,0.0,0.0
2021-09-09,-0.019353152730103518,-0.019857090787755882,-0.021363081484584212
2021-09-10,-0.01824281495913993,-0.016861564842357013,-0.021248292973803817
2021-09-13,-0.0186258945046468,-0.017811924910528742,-0.018478276684072203
2021-09-14,-0.012839473402054269,-0.01458489602366042,-0.00947609590637799
2021-09-15,-0.014306561861485045,-0.015555369313932976,-0.010994353357599018
2021-09-16,-0.005576449570242503,-0.006187238654756899,0.0
2021-09-17,-0.009493092984629747,-0.010033115657135272,-0.00028932504863732333
2021-09-20,-0.032955136846174016,-0.031067414167829543,-0.026943679189490366
2021-09-21,-0.03828407639134568,-0.03609628959511457,-0.033015714082126
2021-09-22,-0.04281037950415134,-0.04310144012974204,-0.03540189229328494
2021-09-23,-0.031172672030994164,-0.033990246894099685,-0.019130674343318388
2021-09-24,-0.024171672537380062,-0.026214476570288747,-0.011544045137133474
2021-09-27,-0.010415828171256858,-0.0097120740612755,0.0
2021-09-28,-0.01409563954461801,-0.014588595985877806,-0.0027361254616079522
2021-09-29,-0.023899970645112734,-0.024170083814078924,-0.015866616927042942
2021-09-30,-0.0008734429812133904,-0.0017961483321825567,0.0
2021-10-01,-0.028428070872616007,-0.03158257936076048,-0.032774902661538485
2021-10-04,-0.0049191967790017666,-0.0003913127131868199,-0.005888435175181006
2021-10-05,-0.006577424151597233,-0.0012559739108695123,-0.005206492987621103
2021-10-06,-0.016303726213855563,-0.013599879771070356,-0.016397546578065025
2021-10-07,-0.005152397825204047,-0.005178459834964677,-0.007584491050537601
2021-10-08,0.0,0.0,0.0
2021-10-11,0.0,0.0,0.0
2021-10-12,-0.0021675668458460695,-0.0035088957250666297,0.0
2021-10-13,-0.007170600534332161,-0.012868856576457088,-0.005962742850142089
2021-10-14,-0.012296854501827048,-0.018759945965802327,-0.01438055125216997
2021-10-15,-0.0008539257660705735,-0.013344188232102816,0.0
2021-10-18,0.0,-0.002640709270247399,0.0
2021-10-19,-0.0006291027454856657,-0.004815413868528462,0.0
2021-10-20,0.0,0.0,0.0
2021-10-21,0.0,0.0,0.0
2021-10-22,-8.624806986812228e-05,-0.0013488641734757945,0.0
2021-10-25,0.0,0.0,0.0
2021-10-26,0.0,0.0,-0.000535837971293307
2021-10-27,0.0,0.0,0.0
2021-10-28,0.0,0.0,0.0
2021-10-29,-0.016592228019806754,-0.020492911895182986,-0.011818913478452098
2021-11-01,-0.028924422535513417,-0.03538312969308388,-0.01012654923889722
2021-11-02,-0.042008956649552065,-0.047593351143584095,-0.021675749087866736
2021-11-03,-0.02911456311238958,-0.03768181092059364,-0.007165850949582664
2021-11-04,-0.02086072738414735,-0.029667832256025428,0.0
2021-11-05,-0.016529742739703868,-0.023976163886036295,0.0
2021-11-08,-0.008950249266272303,-0.01682227610311593,0.0
2021-11-09,-0.019565151691165128,-0.028268418409565732,-0.00956356592741825
2021-11-10,-0.007732509550041011,-0.01629617904372649,-0.0076925405770459365
2021-11-11,-0.01618237078117668,-0.026663403996419643,-0.017226950067023794
2021-11-12,-0.008910715668611457,-0.020586811894847012,-0.007508020368974022
2021-11-15,-0.0031874447762009206,-0.01699329658353399,-0.002793963818705114
2021-11-16,-0.0066457383832898564,-0.020564308960501765,-0.005805100061338941
2021-11-17,-0.031118172827682145,-0.06033744081699177,-0.039428173465138716
2021-11-18,-0.03782877880552826,-0.07066953082050342,-0.043563514226259814
2021-11-19,-0.03733793822022058,-0.07054936198267803,-0.03880697873663064
2021-11-22,-0.05332887509460482,-0.08761314849975221,-0.054454148266868785
2021-11-23,-0.04460107218397458,-0.07905663350587544,-0.047143283877363884
2021-11-24,-0.045255773100306707,-0.07772384274897204,-0.05042433884071884
2021-11-25,-0.0534347167294591,-0.0868305479136362,-0.060265465667928786
2021-11-26,-0.07211177322748508,-0.10285858347635124,-0.0789476139194838
2021-11-29,-0.08284859264708333,-0.11313799516966705,-0.08771009378341432
2021-11-30,-0.08372268483668577,-0.11856127751584422,-0.08605558825877335
2021-12-01,-0.08230581117669311,-0.11458007183128793,-0.08512497167468014
2021-12-02,-0.0752697611008295,-0.10668989369537762,-0.07228029770514888
2021-12-03,-0.06590083239455213,-0.09763340400494924,-0.06511723339517916
2021-12-06,-0.06358040470350912,-0.09442500644830021,-0.06192612633095895
2021-12-07,-0.05551919758947832,-0.08697804571452417,-0.05721816714073735
2021-12-08,-0.04804892033385155,-0.08141716636019125,-0.049819836857301514
2021-12-09,-0.049041304088259685,-0.08113968856497666,-0.05139704339544504
2021-12-10,-0.05240771607415218,-0.0849016483532461,-0.05352912546756117
2021-12-13,-0.05344478233958283,-0.08588139568313802,-0.05234084240671566
2021-12-14,-0.05139044034000084,-0.08603521238404077,-0.0504921025245223
2021-12-15,-0.05072295497417134,-0.08648952319154313,-0.05283018697111863
2021-12-16,-0.0478321999649538,-0.08615265418737872,-0.04719443304732518
2021-12-17,-0.04267567540395267,-0.07577574579843105,-0.04091320085653283
2021-12-20,-0.050004466810818826,-0.07930990434542573,-0.047572337735190984
2021-12-21,-0.04660754206886686,-0.07581742662652857,-0.04456601007055494
2021-12-22,-0.047951585763728044,-0.07635927968227929,-0.044257900250129434
2021-12-23,-0.04288867921243866,-0.07199778578678562,-0.03964109310287556
2021-12-24,-0.04003803245997739,-0.06843980644309355,-0.03721263048616319
2021-12-29,-0.027149104343755615,-0.05651741962375578,-0.024070977912360125
2021-12-30,-0.02589212179372624,-0.05436340352424074,-0.022462025956102027
2021-12-31,-0.03687248229585616,-0.06529579604434133,-0.032850345478142584
2022-01-04,-0.018453964086569186,-0.04984141592977842,-0.012700924109767198
2022-01-05,-0.009600516670021597,-0.04285291530861757,-0.0009052046159259142
2022-01-06,-0.03193287257352839,-0.06554551896865601,-0.02827731942754097
2022-01-07,-0.014035833504727924,-0.046829761279615134,-0.0094227070690861
2022-01-10,-0.015907039502485065,-0.04432013332009632,-0.013633185646386936
2022-01-11,-0.026693818948961723,-0.05458193575879011,-0.027305419135366882
2022-01-12,-0.023629865737411992,-0.054583055486549514,-0.021477288106880987
2022-01-13,-0.01690419040104263,-0.04849279114817184,-0.0169373326746467
2022-01-14,-0.02515554671309206,-0.05814713006416339,-0.026810758459339112
2022-01-17,-0.020804269876953163,-0.05517055980239172,-0.022549104134834574
2022-01-18,-0.022836747009119862,-0.05756385401342168,-0.025502257529262495
2022-01-19,-0.038016629767806176,-0.06913247266411826,-0.0469986484972994
2022-01-20,-0.04396535908857524,-0.07594256559752055,-0.05227905623574447
2022-01-21,-0.06041442357130533,-0.08728310251234117,-0.07360202501229385
2022-01-24,-0.06581045264343743,-0.09120805206225546,-0.07658625887217241
2022-01-25,-0.09138050408399956,-0.11467017780380628,-0.09866456740488738
2022-01-27,-0.09933528630226962,-0.12227774339432107,-0.11529144200611785
2022-01-28,-0.07908648000815188,-0.10462950335734611,-0.09093688243006026
2022-01-31,-0.09874701709177014,-0.12246404544470324,-0.10948507941552366
2022-02-01,-0.08919701052667106,-0.11628956238206778,-0.09869531313724889
2022-02-02,-0.0781731089343467,-0.10767854916655295,-0.08614287910676033
2022-02-03,-0.07784328903404825,-0.10685711471828596,-0.09434066663795082
2022-02-04,-0.06966190294486252,-0.09867514324730342,-0.08457419300444036
2022-02-07,-0.07372680010605293,-0.10212327632445051,-0.08366174972105611
2022-02-08,-0.05964054027540466,-0.09420582900034191,-0.06563318204746416
2022-02-09,-0.04056030734610094,-0.06294780688696022,-0.04830148756063157
2022-02-10,-0.029606024833950473,-0.04678939573237273,-0.04981673172519496
2022-02-11,-0.030755623151495715,-0.051978893673176985,-0.05744110850382611
2022-02-14,-0.011040892924250034,-0.028816426999166977,-0.044593055417974536
2022-02-15,-0.022054075598643363,-0.04109863150400461,-0.05165580361984712
2022-02-16,-0.011865299649293948,-0.03247423792511184,-0.04040266344847154
2022-02-17,-0.008832987527959246,-0.02781796063676434,-0.040912004703812066
2022-02-18,-0.01744862966063665,-0.034363692159588344,-0.05406869790915281
2022-02-21,-0.01327181868000582,-0.028414282427964954,-0.05238684793233683
2022-02-22,-0.028387228110832274,-0.04433950964698219,-0.06918625581792115
