,Alpha,Alpha_t_stat,Alpha_p_value,Beta,Beta_t_stat,Beta_p_value,Beta_CI_95_Lower,Beta_CI_95_Upper,R_Squared
MQG,0.00021886289168636557,1.1524959403470387,0.24916112804133345,1.4017668749291412,73.42643771953834,0.0,1.364342462595573,1.4391912872627095,0.46149956222367694
ANZ,-3.434860260994295e-05,-0.2639881331439788,0.7917977097785236,1.1261057636087195,86.09222007677559,0.0,1.100464056835665,1.151747470381774,0.5408991083066839
NAB,-3.4108208023990225e-05,-0.26557870828691665,0.7905723873955952,1.1251390638175818,87.14649991435914,0.0,1.0998293106612125,1.150448816973951,0.546937858875157
WBC,7.490965283006266e-05,0.5977087871938548,0.5500557752721379,1.0982050223193927,87.16551018703613,0.0,1.073506532206853,1.1229035124319322,0.547045954443212
CBA,0.0002006141509196287,1.7140199263290743,0.08657432542354054,1.0311037468562705,87.63267365757585,0.0,1.0080379767966052,1.0541695169159357,0.5496935304479214
