,Historical VaR 95%,Historical VaR 99%
CBA,0.020414999705368423,0.0382063216291091
NAB,0.022500563506719723,0.04253485862947526
WBC,0.022409594367480835,0.03955508611415907
ANZ,0.022374755555593182,0.04080825427079476
MQG,0.02862745300360073,0.0564326258655473
