Date,Adj Close,Close,High,Low,Open,Volume
2001-07-30,8.296801567077637,29.69908905029297,30.03725814819336,29.44049072265625,29.73091697692871,3071095
2001-07-31,8.196771621704102,29.34103012084961,29.738874435424805,29.34103012084961,29.689144134521484,2660003
2001-08-01,8.438504219055176,30.206342697143555,30.206342697143555,29.36092185974121,29.39076042175293,2969546
2001-08-02,8.477962493896484,30.347576141357425,30.86278533935547,30.28590965270996,30.28590965270996,2791502
2001-08-03,8.299582481384277,29.70903587341309,30.23617935180664,29.579736709594727,30.23617935180664,3593186
2001-08-06,8.452402114868164,30.25607109069824,30.31574821472168,29.689144134521484,29.738874435424805,1729032
2001-08-07,8.492135047912598,30.39830017089844,30.39830017089844,30.03725814819336,30.23617935180664,1690359
2001-08-08,8.45684814453125,30.27198600769043,30.773269653320312,30.017364501953125,30.484832763671875,3074275
2001-08-09,8.58633041381836,30.735475540161133,30.96224594116211,30.13671875,30.13671875,3239107
2001-08-10,8.549650192260742,30.60418510437012,30.992084503173828,30.534563064575195,30.73348426818848,2567344
2001-08-13,8.41489315032959,30.12179946899414,30.78321647644043,30.08698844909668,30.643970489501957,2188713
2001-08-14,8.53020191192627,30.534563064575195,30.534563064575195,30.19639587402344,30.2043514251709,2373586
2001-08-15,8.64134407043457,30.93240737915039,30.96224594116211,30.67977523803711,30.67977523803711,2595586
2001-08-16,8.710809707641602,31.181060791015625,31.191007614135746,30.822999954223636,30.88267707824707,3141822
2001-08-17,8.729144096374512,31.2467041015625,31.489389419555664,31.131330490112305,31.200952529907227,2323450
2001-08-20,8.752487182617188,31.330251693725582,31.489389419555664,31.08159828186035,31.16116714477539,2165323
2001-08-21,8.7802734375,31.429712295532227,31.509281158447266,31.360090255737305,31.42076110839844,1450784
2001-08-22,8.557988166809082,30.63402366638184,31.200952529907227,30.594240188598636,31.00402069091797,8163182
2001-08-23,8.349592208862305,29.88806533813477,30.484832763671875,29.838335037231445,30.484832763671875,5968850
2001-08-24,8.446845054626465,30.23617935180664,30.335641860961918,29.93779754638672,29.93779754638672,4378207
2001-08-27,8.560795783996582,29.88806533813477,30.02731132507324,29.639413833618164,29.838335037231445,4007629
2001-08-28,8.688996315002441,30.335641860961918,30.35553359985352,29.69908905029297,29.87812042236328,6461796
2001-08-29,8.723183631896973,30.45499420166016,30.544509887695312,30.23617935180664,30.28590965270996,1765921
2001-08-30,8.557950973510742,29.87812042236328,30.45499420166016,29.84828186035156,30.39531707763672,2387244
2001-08-31,8.360239028930664,29.1878604888916,29.738874435424805,29.1878604888916,29.738874435424805,5824003
2001-09-03,8.404109954833984,29.34103012084961,29.77865982055664,29.24952507019043,29.24952507019043,2126949
2001-09-04,8.494421005249023,29.656322479248047,29.656322479248047,29.062538146972656,29.53995132446289,2304728
2001-09-05,8.401259422302246,29.33108329772949,29.629467010498047,29.09237670898437,29.47032928466797,1978569
2001-09-06,8.335454940795898,29.101327896118164,29.41065216064453,29.08243179321289,29.211729049682617,2451580
2001-09-07,8.150849342346191,28.45681953430176,28.82681655883789,28.246957778930664,28.82681655883789,2281398
2001-09-10,8.387018203735352,29.28135299682617,29.34103012084961,28.097766876220703,28.14749526977539,2913655
2001-09-11,8.324344635009766,29.062538146972656,29.36092185974121,28.963077545166016,29.2554931640625,1951971
2001-09-12,8.038890838623047,28.06593894958496,28.64480209350586,27.859058380126957,27.94857406616211,2443309
2001-09-13,8.033760070800781,28.04803466796875,28.94318580627441,27.96846580505371,28.84372329711914,2620559
2001-09-14,7.799871921539307,27.23145866394043,28.04803466796875,26.774932861328125,28.04803466796875,4063001
2001-09-17,7.520966053009033,26.25773429870605,26.804771423339844,25.153717041015625,26.804771423339844,4377856
2001-09-18,7.691899299621582,26.854501724243164,27.451269149780277,26.37708854675293,26.854501724243164,4484140
2001-09-19,7.632072925567627,26.64563369750977,27.1031551361084,26.357196807861328,27.05839729309082,2751139
2001-09-20,7.37852668762207,25.76042938232422,26.108543395996094,25.06420135498047,25.85989189147949,4647954
2001-09-21,7.27824592590332,25.41032600402832,25.7106990814209,24.616626739501957,24.616626739501957,3982483
2001-09-24,7.162014007568359,25.00452423095703,25.21339225769043,24.62657356262207,24.888154983520508,2977041
2001-09-25,7.261721611022949,25.352638244628903,25.720645904541016,25.094039916992188,25.561506271362305,2992564
2001-09-26,7.452595233917236,26.019027709960938,26.03892135620117,25.511777877807617,25.85989189147949,2714565
2001-09-27,7.4041643142700195,25.849943161010746,26.108543395996094,25.76042938232422,26.108543395996094,3022611
2001-09-28,7.435503005981445,25.959352493286133,26.15827369689941,25.511777877807617,26.009082794189453,6462972
2001-10-01,7.691899299621582,26.854501724243164,26.854501724243164,26.11849021911621,26.21795082092285,1616061
2001-10-02,7.93405294418335,27.699920654296875,27.699920654296875,26.64563369750977,26.854501724243164,2382887
2001-10-03,7.885621547698975,27.53083610534668,28.097766876220703,27.38164520263672,27.901826858520508,2535359
2001-10-04,7.862827301025391,27.451269149780277,27.749652862548828,27.1031551361084,27.749652862548828,1419921
2001-10-05,7.945448398590088,27.73970603942871,27.73970603942871,27.20261573791504,27.432371139526367,1832704
2001-10-08,7.77451753616333,27.1429386138916,27.550729751586918,27.083261489868164,27.36175346374512,2532810
2001-10-09,7.675946235656738,26.798803329467773,27.033531188964844,26.63568687438965,27.033531188964844,4135481
2001-10-10,7.706141471862793,26.904232025146484,27.15288543701172,26.755041122436523,26.755041122436523,2333544
2001-10-11,7.862827301025391,27.451269149780277,27.51094436645508,27.20261573791504,27.20261573791504,2607942
2001-10-12,7.96738338470459,27.81629180908203,27.888896942138672,27.39159202575684,27.84911346435547,2085541
2001-10-15,7.965389728546143,27.809328079223636,27.908790588378903,27.451269149780277,27.749652862548828,2007042
2001-10-16,7.899863243103027,27.580568313598636,27.94857406616211,27.500999450683597,27.94857406616211,1485913
2001-10-17,8.10498332977295,28.296688079833984,28.3066349029541,27.600460052490234,27.749652862548828,3134438
2001-10-18,7.93405294418335,27.699920654296875,28.02814292907715,27.59051322937012,27.958520889282227,3111337
2001-10-19,7.811551094055176,27.272239685058597,27.600460052490234,27.20261573791504,27.561670303344727,2574929
2001-10-22,7.892742156982422,27.555702209472656,27.699920654296875,27.351806640625,27.351806640625,1163469
2001-10-23,7.968236446380615,27.81927490234375,27.91873550415039,27.650190353393555,27.89884376525879,2069746
2001-10-24,8.147714614868164,28.445880889892575,28.56523323059082,27.759597778320312,27.829221725463867,3955178
2001-10-25,8.271069526672363,28.87654685974121,29.05259323120117,28.475717544555664,28.495609283447266,4006694
2001-10-26,8.262236595153809,28.845712661743164,29.191837310791016,28.81388664245605,28.991920471191406,12053454
2001-10-29,8.304403305053711,28.99291610717773,29.18189239501953,28.893455505371094,28.94318580627441,1009950
2001-10-30,8.372773170471191,29.23162269592285,29.29129981994629,28.784048080444336,28.85565948486328,2203642
2001-10-31,8.489578247070312,29.639413833618164,29.639413833618164,28.99291610717773,29.142108917236328,2303034
2001-11-01,8.495274543762207,29.65930557250977,29.838335037231445,29.55984306335449,29.629467010498047,2798333
2001-11-02,8.50382137298584,29.689144134521484,29.88806533813477,29.44049072265625,29.74881935119629,2165129
2001-11-05,8.643986701965332,30.178491592407227,30.23617935180664,29.66925048828125,29.838335037231445,2056494
2001-11-06,8.874173164367676,30.98213768005371,31.021923065185547,30.08698844909668,30.08698844909668,2164356
2001-11-07,8.632015228271484,30.13671875,31.021923065185547,30.13671875,30.98213768005371,2157902
2001-11-08,8.833717346191406,30.84090232849121,30.892623901367188,30.184459686279297,30.184459686279297,2206990
2001-11-09,8.802949905395508,30.73348426818848,31.08159828186035,30.73348426818848,30.73348426818848,1343224
