,CBA,NAB,WBC,ANZ,MQG
CBA,0.050038150026074035,0.04195408573447619,0.04232063806270654,0.042595656692888374,0.04178669211379542
NAB,0.04195408573447619,0.06292099508218864,0.045942637803350936,0.04953595585655573,0.051993375229003505
WBC,0.04232063806270654,0.045942637803350936,0.059124443977843666,0.04989932673729292,0.04537186943829179
ANZ,0.042595656692888374,0.04953595585655573,0.04989932673729292,0.06591227127717793,0.050383031162299134
MQG,0.04178669211379542,0.051993375229003505,0.04537186943829179,0.050383031162299134,0.12001615481463929
