,Expected Shortfall 95%,Expected Shortfall 99%
CBA,0.03175910455862698,0.05460819163216632
NAB,0.035439403241767524,0.060395220490924204
WBC,0.03400239661472292,0.055374985635458285
ANZ,0.03499363001825748,0.05976973964377319
MQG,0.04766663930319355,0.0832468935561326
