,Full Sample Min Variance,Full Sample Max Sharpe,2001-2015 Min Variance,2001-2015 Max Sharpe,2016-2026 Min Variance,2016-2026 Max Sharpe,2021-2026 Min Variance,2021-2026 Max Sharpe
CBA,0.4,0.39999999999999997,0.4,0.39999999999999986,0.4,0.4,0.19218434726124187,0.39615479904119566
NAB,0.18054388585356784,5.271864349598961e-16,0.17999064254738473,0.0,0.18801321551502864,0.19999999999999934,0.15845577621769963,0.0063896685817563074
WBC,0.2336913837118238,0.1997234362023353,0.2601248198068732,0.4,0.09429774846639731,1.7383592366587183e-17,0.12620342484516522,0.4
ANZ,0.12884720849874876,0.0002765637976644905,0.1598845376457421,4.709774237277031e-16,0.077420631882682,4.761815941556335e-16,0.3224805680086899,0.017954411942536656
MQG,0.056917521935859576,0.3999999999999997,0.0,0.2,0.24026840413589204,0.4,0.20067588366720346,0.1795011204345114
