,Annualized Volatility,Maximum Drawdown,Historical VaR 95%,Historical VaR 99%,Parametric VaR 95%,Parametric VaR 99%,Expected Shortfall 95%,Expected Shortfall 99%
CBA,0.21949880947931846,-0.58530098637374,0.020414999705368423,0.0382063216291091,0.02216893022613928,0.03158520256122816,0.03175910455862698,0.05460819163216632
NAB,0.23948348276816844,-0.6066034014035272,0.022500563506719723,0.04253485862947526,0.024435091034088755,0.03470868522282222,0.035439403241767524,0.060395220490924204
WBC,0.23367893487905933,-0.5173531446852198,0.022409594367480835,0.03955508611415907,0.023736134619824274,0.033760719696227834,0.03400239661472292,0.055374985635458285
ANZ,0.24321911490889667,-0.5864046480997562,0.022374755555593182,0.04080825427079476,0.02473132833992647,0.035165177291153864,0.03499363001825748,0.05976973964377319
MQG,0.3247454742911987,-0.81737349514947,0.02862745300360073,0.0564326258655473,0.0329551964993315,0.046886442107302105,0.04766663930319355,0.0832468935561326
