Portfolio,Return,Volatility,Sharpe,Total Return,Maximum Drawdown
Equal Weight,0.17938779395241994,0.16735871879866698,0.8697882638112144,1.5184335001993001,-0.20934208701662194
Minimum Variance,0.18647614593458406,0.1744910812741096,0.8748584760038184,1.6020699011868058,-0.20163489484152164
Maximum Sharpe,0.1823725884021022,0.17523017591022694,0.8477503554145218,1.5414653719798665,-0.20988304367551835
