,CBA,NAB,WBC,ANZ,MQG
1,-0.012129715092779964,0.013051842534865762,-0.015201561496403193,-0.01843133896248732,0.015401810361184223
2,0.029064695593245097,0.027707642691253854,0.01950217495902455,0.03219008157577106,-0.0210514753106243
3,0.0046650813165243525,0.011940528876241023,0.012086725708416913,0.0061914103375665455,0.02655588059268975
4,-0.02126493889809991,0.0029631661046717723,0.0076037349399541605,0.02439173112896745,0.0027548314648156024
5,0.018245464830180594,0.002068646706527296,0.002241638532037978,-0.003016642183625182,0.010127369919277181
6,0.004689771751971015,0.0038308800845112635,0.011134700685316632,0.00542356059318097,0.0017685653583282004
7,-0.004163902219337694,0.014598613555440877,0.0,0.008080006139998947,0.00040794397561657924
8,0.015194907467444963,0.01267326060790278,-0.018156587361617373,-0.01652933658873179,-0.0076651634538062105
9,-0.0042810829940492755,-0.003440024371181708,0.0007043535581712801,-0.0012127115487400935,0.0008488451711499034
10,-0.015887238888375572,-0.011553989404477093,-0.009908144133336728,-0.00547612534380693,0.0013118411272978454
11,0.013609901986256948,-0.004368103033627862,0.010612001926745811,0.004868923630911,0.0038727388648776414
12,0.012945102401185432,0.0017489199659451319,0.007292156903788016,0.001214152409442728,-0.01757305511950382
13,0.008006615108581189,-0.02453371290741035,0.0011171261769443142,-0.001821370036328659,-0.0016636486374077798
14,0.0021025738592384113,-0.005687667545674335,-0.005808967524691914,0.0024271308885217093,0.015419061416674732
15,0.0026705860275589477,-0.007897321755067304,0.0002105577279378909,-0.007299019129241993,-0.01237177161780901
16,0.003169640965051146,0.00861750118944539,0.0007713660574013576,0.007299019129241978,-0.005547556142812446
17,-0.02564241509682915,0.014238472925977375,-0.008520586745232645,-0.0016983258377178893,0.0030549880064825474
18,-0.02465243488030389,0.015845296613177386,0.0028247690485745476,0.012008942762371815,0.00938518110928146
19,0.011580304925943632,0.01272836848134374,0.007727253679998514,0.013642663688457396,0.022277151809094144
20,0.01340014591866484,-0.0054770293336172836,0.013899395597961875,0.020846292789755288,0.046715504958029425
21,0.01486428250502856,0.006482454048410523,-0.013829244958090566,-0.0020882728962795267,0.0028162577674652888
22,0.003926832932984617,-0.012278913664717221,-0.0028729526806130245,-0.016571010315976676,0.01295619332943626
23,-0.01912347744468644,-0.012284811357690373,-0.009873468392310058,0.0007675927862406813,-0.004300279962516579
24,-0.023373770580902585,-0.0232218968960178,-0.014563288447105662,-0.0035465947782138186,-0.018729108635114823
25,0.005233847862832709,-0.13870810912091072,0.013854895152674702,0.019930325843083678,0.016953375078144838
26,0.010688729151089543,0.02562040416863809,0.0007083932944307237,0.009300538945452817,0.018118030397111753
27,-0.011027969841978987,0.008997964767012846,-0.00854096372516314,-0.036360396973580435,0.019753641170665987
28,-0.007863529144835494,-0.014070171673030643,-0.013674119385117638,-0.031499000602533356,-0.009827973217341945
29,-0.022395961084626367,-0.006803005865070135,-0.021978734072989902,-0.00927348483841677,-0.0199508432933795
30,0.02856292286263094,0.030254776117474513,0.018349049809949867,0.018461584577711257,-0.02164321159568514
31,-0.00750074822395398,-0.021893378942382,0.012288325163342193,-0.0006096920429015541,0.0
32,-0.0348931919673669,-0.05467286744040527,-0.023551522402586404,-0.039958066325631994,0.0
33,-0.0006384470148031397,0.004493841725914482,-0.009904783275023036,-0.012652645438270656,-0.05914031543426965
34,-0.029545358018949995,-0.025226387278161313,-0.01285888753094341,-0.00709937112898918,-0.033347298763529404
35,-0.03641271903848386,-0.07551811704898692,-0.02421877370510167,-0.038961308936908225,-0.10304791626991783
36,0.022473141861206865,0.019604243305105365,0.0020794755260072316,0.02329541930740487,0.05637699213457254
37,-0.0078082467307978515,-0.015950682285140776,-0.007645385525288646,0.0032838738326229715,0.011676086065739891
38,-0.03378550647825291,-0.037966595021671004,-0.03149851476046808,-0.04355763682103198,-0.0034265643555529486
39,-0.013684093926112483,0.045117198135422656,-0.034425849225346916,-0.0068730558608267045,-0.002673764194104755
40,-0.01609866154051089,0.001284457620969322,-0.0022379517240489087,-0.01598885302126247,-0.02056764753644057
41,0.013825709836520149,0.020552571136548507,0.043043129016480525,0.035115148847978825,0.027515785745758095
42,0.025945388047570225,0.0,0.025894303633467782,0.04711317526399459,0.03165896254925961
43,-0.006519738176333768,-0.01923134624860409,0.006177637462693734,0.022781406562869748,-0.0044820785333063865
44,0.004223644320741369,-0.0035011124126166676,0.022831929301605068,0.008168255611281532,0.02326858785699411
45,0.033901504647176305,0.049272325902862533,-0.0030142917240462003,0.02344031168725282,0.0273989763885101
46,0.030996259077686883,0.03549555605808533,0.016690087156533483,0.0200317476968465,0.02316227497154395
47,-0.006122951242648358,0.015983086403073707,-0.002452251184057485,-0.02168364833543737,-0.002035692641461553
48,-0.002894794631548615,-0.019785302691171087,0.003861796612271721,0.02192279136214911,0.0002647488956732732
49,0.010452986958523017,0.02231955790944853,0.01930540215372993,0.025198597518733445,0.010657558869435339
50,-0.02174783331665815,0.0072833850051244155,0.00036314325527772313,-0.011751433223876286,0.002482889517017986
51,-0.01275982900596831,0.0006977816039496455,0.012781440997048591,-0.027988345055513234,0.005442504088445892
52,0.003926030791822097,-0.018652505743561025,0.01728532490482704,0.023249106275544447,-0.017446197681295933
53,0.020128644572281234,0.02352185017618602,0.007727253679998514,0.018241434926809335,0.017212436036345955
54,0.013209881558582782,0.006640481468856527,-0.020502814349342022,-0.0005835861317773598,-0.011809686458956267
55,-0.0002502585274617647,-0.010847841278721683,0.00711815062185943,0.0034947300234705147,-0.017043777910943966
56,-0.008260423979069663,0.004554234507713812,-0.0021300845049136087,0.01213487309937024,-0.016034952775441008
57,0.025633650078899117,0.03911424039181725,0.01956540949387651,-0.009232403930965565,0.008116711276697169
58,-0.02131510325675362,0.0008002274098529696,-0.013896034733472208,-0.02109039271465382,-0.004510245366071449
59,-0.015560447420943495,-0.01694067262191367,0.0070425714312504105,-0.005342493431458036,-0.0011650200052188535
60,0.010340075165587059,-0.00513163087587811,0.00028046039924866474,0.011834189097098215,-0.008162935630535632
61,0.009519571447266013,0.0217388690992321,0.03420585845148164,0.01749332603797205,-0.006964162448960769
62,0.022274278237858013,0.006612687934206774,-0.0038043973890442085,0.010350523893213696,0.02456771767126022
63,0.01502635417715156,0.006174421370226796,-0.0029985028089826566,0.006841709351366738,0.007888209324008895
64,-0.0010685016407300304,0.00656214835187862,0.0027264416540448005,0.0056657195054939605,0.010992726607392507
65,0.005090567696581779,-0.00485182962195776,0.002040399837949723,0.006251648758596214,-0.00026340117320618417
66,0.008199259454661805,-0.007586588318093321,0.0,0.0007298315080683489,-0.0213060317282082
67,0.013854170391648645,0.012111133122521182,0.00541970607075091,0.0008970475422490522,0.018773503449428307
68,0.0006707502238152884,-0.0022922770028110375,-0.008822272621989457,0.0029769995766693673,-0.004607134348798886
69,0.0010055628823641514,-0.02321865968388918,0.01232994754980251,0.010124617104192046,-0.006283307608603626
70,0.016348264470372773,-0.01589756798596504,0.023160871956146373,0.008453557467017802,-0.0063228010144156304
71,0.026281266211799405,0.03878795182702482,0.013072136373007755,0.009383254069256764,0.021062469510922933
72,-0.027667174323915293,-0.016201278722617212,-0.026517203782542024,-0.02140826019722164,0.00942916291457602
73,0.023097924413695528,0.016529554565446462,0.026971467641980492,0.009721602010700178,0.010115601848384271
74,-0.0034890346990086407,0.028443773379296978,0.008595102066909222,0.016677536540873988,-0.010376408843861117
75,0.004585183468490968,0.02112653349169714,0.022901961437522787,0.00963373192781427,-0.0054911816453570165
76,-0.013687798611554473,0.003705972061864475,0.0031399349959544977,0.008021256725445309,-0.003677174273742138
77,-0.0016344528452572713,0.005610870580626567,0.026602208999100617,0.011079645525470007,-0.005806407365767334
78,-0.021157684592924077,0.004318310353426674,-0.003118435403675065,-0.005659513534089133,-0.009841662827640919
79,-0.008926962071655258,-0.002774115353462954,-0.027882148309715266,0.000918434249871019,-0.015380906799913644
80,-0.008939620242393781,-0.003009595736925422,-0.020292433902275652,-0.02942935427640536,0.018476968179125745
81,0.003056078898584517,0.011233882147921892,0.010801742256351275,-0.012310886860681023,0.00938893814236114
82,-0.0033623036042007104,-0.0014402536049270287,0.010120051795505212,-0.0011269659693300853,-0.0007923140690297176
83,-0.004809155071718921,0.0012214118344711052,-0.009032091637739307,-0.006787308399468761,-0.00044899338754319856
84,-0.0010258569148654585,-0.0025072090017120158,-0.01501834456940849,-0.008549381278163402,-0.010308677244947759
