Bank,COVID,GFC,Rate Hikes
ANZ,1.3352081160245162,1.215557987711437,0.9266018794506837
CBA,1.1882450456460627,1.0369096338563362,0.9127471614709767
MQG,1.264644989814066,1.7075605132047214,1.4148096359230347
NAB,1.2476869120789496,1.2141359646709113,0.9518933138100503
WBC,1.240397132596141,1.1094272502135762,0.8958441802030453
