Date,CBA,NAB,WBC,ANZ,MQG
2001-07-31,,,,,
2001-08-01,,,,,
2001-08-02,,,,,
2001-08-03,,,,,
2001-08-06,,,,,
2001-08-07,,,,,
2001-08-08,,,,,
2001-08-09,,,,,
2001-08-10,,,,,
2001-08-13,,,,,
2001-08-14,,,,,
2001-08-15,,,,,
2001-08-16,,,,,
2001-08-17,,,,,
2001-08-20,,,,,
2001-08-21,,,,,
2001-08-22,,,,,
2001-08-23,,,,,
2001-08-24,,,,,
2001-08-27,,,,,
2001-08-28,,,,,
2001-08-29,,,,,
2001-08-30,,,,,
2001-08-31,,,,,
2001-09-03,,,,,
2001-09-04,,,,,
2001-09-05,,,,,
2001-09-06,,,,,
2001-09-07,,,,,
2001-09-10,0.24899181901448295,0.443201006699833,0.17878726189261307,0.2428236747166837,0.2540397746636105
2001-09-11,0.24733532733520305,0.44468882413970123,0.17681433983360423,0.23582549304357495,0.25143233745761334
2001-09-12,0.2517099713779739,0.4580642743432697,0.1802486894207881,0.245701455277405,0.24160846836084027
2001-09-13,0.2510484353490297,0.4561019934026341,0.17769982909975923,0.24719056418226593,0.2890131317960332
2001-09-14,0.25746894638885925,0.4586932264608891,0.1783298937445552,0.23507463638571846,0.3045517618676354
2001-09-17,0.26791520280705583,0.4961932867661356,0.1884082613903055,0.25710066965093653,0.4129050535929901
2001-09-18,0.27776692003589454,0.501914858983579,0.18418058885213043,0.2677153288066913,0.4505192736697088
2001-09-19,0.2780796950016796,0.4974257691723096,0.1842615240462227,0.26635681754619256,0.45233106328089284
2001-09-20,0.2853857156544147,0.49907760100770093,0.19648361630450253,0.2877751161152877,0.4520425985119738
2001-09-21,0.28648819361890365,0.5257514416570545,0.21382029588980545,0.2877798819423824,0.4519718941635444
2001-09-24,0.2865555146077305,0.526642251018282,0.2135476844654553,0.2897801468191436,0.4549398822990277
2001-09-25,0.2866816082565451,0.5336004691799091,0.2530234063820261,0.3114028494980663,0.463225307513438
2001-09-26,0.296412507642817,0.5333387656492807,0.2659388308171182,0.3454437434522235,0.4710493144657996
2001-09-27,0.29394574483797176,0.5322053547577021,0.267076966743401,0.3528962001129601,0.471191173535298
2001-09-28,0.29447172836269625,0.5323311394208761,0.2774946967881712,0.3537816589653063,0.47410196574144614
2001-10-01,0.3155096146805568,0.5587684072768782,0.27741179917696146,0.36021744697601016,0.47934892773162624
2001-10-02,0.3314489233405948,0.5706403744255631,0.28279636360150057,0.3643530914905591,0.48313637934719594
