Date,CBA,NAB,WBC,ANZ,MQG,XJT_Gross_Total_Return
2001-08-30,-0.0189416786133123,-0.0122094263794875,-0.0098243101389174,0.0007676588406555,-0.0042905304363272,-0.007327993177595693
2001-08-31,-0.0231021653258352,-0.0229550511307022,-0.0144575580937724,-0.0035397429212854,-0.0185553246641322,-0.014395994158147296
2001-09-03,0.0052473378315947,-0.1295175602128546,0.0139507854083491,0.0201299122011855,0.0170980556854849,8.716441699463395e-05
2001-09-04,0.0107457148206777,0.0259517088814054,0.0007089692572239,0.0093444864506126,0.0182831603841167,0.004295586129614559
2001-09-05,-0.0109668245753782,0.0090386343816017,-0.0085043962749536,-0.0357080609948996,0.0199502575634362,0.0005950905033473841
2001-09-06,-0.0078332565022011,-0.0139721854503931,-0.0135813090711159,-0.031008085882298,-0.0097797641514131,-0.0070377162115280445
2001-09-07,-0.0221472646941079,-0.0067793722157213,-0.0217387580049531,-0.0092303836097535,-0.0197534287855155,-0.009015472922385803
2001-09-10,0.0289748820082225,0.0307170252423294,0.0185178774504393,0.0186330554405864,-0.0214103857587356,0.002984228916800502
2001-09-11,-0.0074725758048509,-0.0216556545710195,0.0123640052062055,-0.0006098605859172,0.0,-0.00012554218531279915
2001-09-12,-0.0342916768772282,-0.0532051752875339,-0.0232760267569078,-0.0391694028073779,0.0,-0.04115789539767345
2001-09-13,-0.0006378875801733,0.0045039541748839,-0.0098556896000334,-0.0125734237868472,-0.0574257155346049,0.005925373036606452
2001-09-14,-0.0291136356945529,-0.0249108607369995,-0.012776561793248,-0.0070741060106391,-0.0327974896760486,-0.008096955180359022
2001-09-17,-0.0357570336657006,-0.0727372162370723,-0.0239281217244266,-0.0382120765797004,-0.0979161854955957,-0.045369240258802845
2001-09-18,0.0227271790666518,0.0197975920906883,0.0020817097753682,0.0235687449333887,0.0579966536987326,0.018559252130877057
2001-09-19,-0.007777966509372,-0.015823991711376,-0.0076165153432479,0.0032896541288716,0.0117446033247285,0.008239978404642967
2001-09-20,-0.0332210956243912,-0.0372547437859611,-0.0310073978645186,-0.0426231221712589,-0.0034210425957039,-0.017068158847664994
2001-09-21,-0.0135910888335828,0.0461507024979761,-0.0338403146909255,-0.0068492928073006,-0.0026695913729648,-0.013707771823140535
2001-09-24,-0.0159697769501286,0.0012849680821256,-0.002234994801376,-0.015862110557516,-0.0203586020747903,-0.005261050276860968
2001-09-25,0.013922198566082,0.0207653081209964,0.0439828371011299,0.0357390484973907,0.0278982983806226,0.01309725422693564
2001-09-26,0.0262845694725206,0.0,0.026232398944463,0.0482411772533772,0.0321661287292489,0.009755897042401207
2001-09-27,-0.0064982125468697,-0.0190479867179036,0.0061965454791301,0.0230430678402648,-0.0044724615760863,0.0032295928406167462
2001-09-28,0.0042321253963653,-0.0034943645893935,0.0230950715638875,0.0082015816253679,0.0235414947959633,0.016305634269560443
2001-10-01,0.0344829797579406,0.0505059039699764,-0.0030100972296708,0.0237168256145279,0.0277778569308884,0.016190425489439386
2001-10-02,0.0314815251055726,0.0361330490147078,0.0168302150899786,0.0202340871627133,0.0234324395724174,0.013516079812975201
2001-10-03,-0.0061041855443544,0.0161117905990511,-0.0024494509139598,-0.0214504751808727,-0.0020332348643624,-0.00415452507252656
2001-10-04,-0.0028903674011981,-0.0195910686902683,0.0038692637483122,0.022165098647467,0.0002640857974038,0.001524706737257242
2001-10-05,0.0105076277119835,0.0225701416309289,0.0194928245581946,0.0255182957885471,0.0107146329726843,0.01581337496679902
2001-10-08,-0.0215135969555196,0.0073110407478615,0.0003637422764724,-0.0116824311910413,0.0024867419790581,-0.012289227315629647
2001-10-09,-0.0126782854178526,0.0006976724856988,0.012863203785167,-0.0276003000002746,0.0054567258741753,0.00422916249669103
2001-10-10,0.0039347424150757,-0.0184801822129777,0.0174353845224248,0.0235218265693342,-0.0172947417235709,-0.005079340585860126
2001-10-11,0.0203318329483213,0.0238012512548799,0.0077578988087567,0.0184083597680468,0.0173612660103894,0.020033345827247917
2001-10-12,0.0132972741212689,0.0066622262565247,-0.0202943081557559,-0.0005830771430371,-0.0117400735609265,0.008109375197982827
2001-10-15,-0.0002500477143466,-0.0107889380507574,0.0071432816563852,0.0035006169217239,-0.0169002761840003,-0.008062995688842611
2001-10-16,-0.0082265201516249,0.0045644088095271,-0.0021280125913043,0.012209024609028,-0.015906698006162,0.0036682949081026095
2001-10-17,0.02596477910707,0.0398891341806073,0.019758592709326,-0.0091896916058932,0.0081500628186566,0.008452322337108242
2001-10-18,-0.0210894316863967,0.0008005477850401,-0.0137997992561388,-0.0208697608758845,-0.0045000898390991,-0.011805429496047126
2001-10-19,-0.0154397724706862,-0.0167981231207491,0.0070667135527262,-0.0053284758164807,-0.0011641830523539,-0.007563136991594388
2001-10-22,0.0103935353476161,-0.0051180089370641,0.0002808856540739,0.0119043748713116,-0.0081299469819909,0.001461605723877657
2001-10-23,0.0095653304980336,0.0219768753453328,0.0347970901011753,0.0176472323996783,-0.0069396496565612,0.010458491071087206
2001-10-24,0.0225241994529821,0.0066347332955534,-0.0037963638577562,0.0104045009332534,0.0248717447718742,0.01020517575230051
2001-10-25,0.0151399327137511,0.0061934534716081,-0.0029943224802059,0.0068650557493539,0.0079191677898609,0.0028657946492678388
2001-10-26,-0.0010680460522363,0.0065833259796912,0.0027305369025927,0.0056818000491907,0.0110532159525844,0.006754905867118133
2001-10-29,0.005103084358621,-0.0048402111760879,0.0020418581863899,0.0062713405252992,-0.0002627489204362,-0.006122108231452761
2001-10-30,0.0082334276358135,-0.007557354120087,0.0,0.0007297715926919,-0.0210802722401892,-0.001039080631412559
2001-10-31,0.0139500130417598,0.0121843655709374,0.0054346692693016,0.0008979935212767,0.0189501131148088,-0.0009591907917685383
2001-11-01,0.0006713125328299,-0.0022898501513767,-0.0087837176847034,0.0029813257036177,-0.0045965384966485,0.0007044975623138328
2001-11-02,0.0010061810025663,-0.0229507250570583,0.0124066518443135,0.0101761504942812,-0.0062634543157069,-0.0026664839169902033
2001-11-05,0.0164822921142016,-0.0157717310176089,0.0234309165465904,0.0084891726482876,-0.0063027758952656,-0.004360238126471794
