,Parametric VaR 95%,Parametric VaR 99%
CBA,0.02216893022613928,0.03158520256122816
NAB,0.024435091034088755,0.03470868522282222
WBC,0.023736134619824274,0.033760719696227834
ANZ,0.02473132833992647,0.035165177291153864
MQG,0.0329551964993315,0.046886442107302105
