Portfolio,In_Sample_Volatility,In_Sample_Sharpe,OOS_Volatility,OOS_Sharpe,Maximum_Drawdown,Differentiated_Stress_Return
Equal Weight,0.21471540631316166,0.4541877567720696,0.16735871396946309,0.8697882114353109,-0.209342,-0.13
Minimum Variance,0.20828975518335127,0.4570304699344612,0.17449111155151492,0.8748584023369179,-0.201635,-0.10853762829037895
Maximum Sharpe,0.22642699769435914,0.5240839697591041,0.1752301939860043,0.8477504244995172,-0.209883,-0.15999999999999995
