Bank,COVID,GFC,Rate Hikes,Full_Sample_Beta,GFC_Minus_Full,COVID_Minus_Full,Rate Hikes_Minus_Full
ANZ,1.3352081160245162,1.215557987711437,0.9266018794506837,1.1261057636087195,0.08945222410271758,0.20910235241579667,-0.19950388415803577
CBA,1.1882450456460627,1.0369096338563362,0.9127471614709767,1.0311037468562705,0.005805887000065679,0.15714129878979222,-0.11835658538529381
MQG,1.264644989814066,1.7075605132047214,1.4148096359230347,1.4017668749291412,0.30579363827558015,-0.13712188511507528,0.013042760993893454
NAB,1.2476869120789496,1.2141359646709113,0.9518933138100503,1.1251390638175818,0.08899690085332956,0.12254784826136778,-0.1732457500075315
WBC,1.240397132596141,1.1094272502135762,0.8958441802030453,1.0982050223193927,0.01122222789418359,0.14219211027674827,-0.2023608421163473
